,date_index,rsrp,rsrq,wbcqi
447,6085,-83,-2,15
448,6084,-83,-2,15
449,6083,-83,-2,15
450,6082,-83,-2,15
451,6081,-83,-2,15
452,6080,-83,-2,15
453,6079,-83,-2,15
454,6078,-83,-2,15
455,6077,-83,-2,15
456,6076,-83,-2,15
457,6075,-83,-2,15
458,6074,-83,-2,15
459,6073,-83,-2,15
460,6072,-83,-2,15
461,6071,-83,-2,15
462,6070,-83,-2,15
463,6069,-83,-2,15
464,6068,-83,-2,15
465,6067,-83,-2,15
466,6066,-83,-2,15
467,6065,-83,-2,15
468,6064,-83,-2,15
469,6063,-83,-2,15
470,6062,-83,-2,15
471,6061,-83,-2,15
472,6060,-83,-2,15
473,6059,-83,-2,15
474,6058,-83,-2,15
475,6057,-83,-2,15
476,6056,-83,-2,15
477,6055,-83,-2,15
478,6054,-83,-2,15
479,6053,-83,-2,15
480,6052,-83,-2,15
481,6051,-83,-2,15
482,6050,-83,-2,15
483,6049,-83,-2,15
484,6048,-83,-2,15
485,6047,-83,-2,15
486,6046,-83,-2,15
487,6045,-83,-2,15
488,6044,-83,-2,15
489,6043,-83,-2,15
490,6042,-83,-2,15
491,6041,-83,-2,15
492,6040,-83,-2,15
493,6039,-83,-2,15
494,6038,-83,-2,15
495,6037,-83,-2,15
496,6036,-83,-2,15
497,6035,-83,-2,15
498,6034,-83,-2,15
499,6033,-83,-2,15
500,6032,-83,-2,15
501,6031,-83,-2,15
502,6030,-83,-2,15
503,6029,-83,-2,15
504,6028,-83,-2,15
505,6027,-83,-2,15
506,6026,-83,-2,15
507,6025,-83,-2,15
508,6024,-83,-2,15
509,6023,-83,-2,15
510,6022,-83,-2,15
511,6021,-83,-2,15
512,6020,-83,-2,15
513,6019,-83,-2,15
514,6018,-83,-2,15
515,6017,-83,-2,15
516,6016,-83,-2,15
517,6015,-83,-2,15
518,6014,-83,-2,15
519,6013,-83,-2,15
520,6012,-83,-2,15
521,6011,-83,-2,15
522,6010,-83,-2,15
523,6009,-83,-2,15
524,6008,-83,-2,15
525,6007,-83,-2,15
526,6006,-83,-2,15
